fact
"Blue-eyed, white cats are often prone to deafness."
"Cats should not be fed tuna exclusively, as it lacks taurine, an essential nutrient required for good feline health.  Make sure you have the proper Pet supplies to keep your cat happy and healthy."
"In just 7 years, one un-spayed female cat and one un-neutered male cat and their offspring can result in 420,000 kittens."
"Cats should not be fed tuna exclusively, as it lacks taurine, an essential nutrient required for good feline health.  Make sure you have the proper Pet supplies to keep your cat happy and healthy."
"The richest cat is Blackie who was left £15 million by his owner, Ben Rea."
"In Holland’s embassy in Moscow, Russia, the staff noticed that the two Siamese cats kept meowing and clawing at the walls of the building. Their owners finally investigated, thinking they would find mice. Instead, they discovered microphones hidden by Russian spies. The cats heard the microphones when they turned on."
"Cats step with both left legs, then both right legs when they walk or run."
"In contrast to dogs, cats have not undergone major changes during their domestication process."
"The name ""jaguar"" comes from a Native American word meaning ""he who kills with one leap""."
"Like birds, cats have a homing ability that uses its biological clock, the angle of the sun, and the Earth's magnetic field. A cat taken far from its home can return to it. But if a cat's owners move far from its home, the cat can't find them."
